From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (GO)	Gene Ontology (molecular function)	Gene Ontology IDs	Developmental stage	Induction	Tissue specificity
WP_011100836.1	P04958	reviewed	TETX_CLOTE	Tetanus toxin (EC 3.4.24.68) (Tentoxylysin) [Cleaved into: Tetanus toxin light chain (Tetanus toxin chain L); Tetanus toxin heavy chain (Tetanus toxin chain H)]	tetX CTC_p60	Clostridium tetani (strain Massachusetts / E88)	1315	negative regulation of neurotransmitter secretion [GO:0046929]; proteolysis [GO:0006508]	clathrin-coated endocytic vesicle membrane [GO:0030669]; cytosol [GO:0005829]; endocytic vesicle membrane [GO:0030666]; extracellular region [GO:0005576]; plasma membrane [GO:0005886]	clathrin-coated endocytic vesicle membrane [GO:0030669]; cytosol [GO:0005829]; endocytic vesicle membrane [GO:0030666]; extracellular region [GO:0005576]; plasma membrane [GO:0005886]; metalloendopeptidase activity [GO:0004222]; protein transmembrane transporter activity [GO:0008320]; toxin activity [GO:0090729]; zinc ion binding [GO:0008270]; negative regulation of neurotransmitter secretion [GO:0046929]; proteolysis [GO:0006508]	metalloendopeptidase activity [GO:0004222]; protein transmembrane transporter activity [GO:0008320]; toxin activity [GO:0090729]; zinc ion binding [GO:0008270]	GO:0004222; GO:0005576; GO:0005829; GO:0005886; GO:0006508; GO:0008270; GO:0008320; GO:0030666; GO:0030669; GO:0046929; GO:0090729			
WP_003850266.1	G5EKG4	unreviewed	G5EKG4_CORDP	Diphtheria toxin (Toxin)	tox CIP107547_00324	Corynebacterium diphtheriae	560		extracellular space [GO:0005615]	extracellular space [GO:0005615]; NAD+-diphthamide ADP-ribosyltransferase activity [GO:0047286]; toxin activity [GO:0090729]	NAD+-diphthamide ADP-ribosyltransferase activity [GO:0047286]; toxin activity [GO:0090729]	GO:0005615; GO:0047286; GO:0090729			
WP_003850266.1	A0A172PZD5	unreviewed	A0A172PZD5_CORDP	Diphtheria toxin	tox	Corynebacterium diphtheriae bv. gravis	560		extracellular space [GO:0005615]	extracellular space [GO:0005615]; NAD+-diphthamide ADP-ribosyltransferase activity [GO:0047286]; toxin activity [GO:0090729]	NAD+-diphthamide ADP-ribosyltransferase activity [GO:0047286]; toxin activity [GO:0090729]	GO:0005615; GO:0047286; GO:0090729			
WP_003850266.1	A0A172PZE5	unreviewed	A0A172PZE5_CORDP	Diphtheria toxin (Toxin)	tox AY602_01915	Corynebacterium diphtheriae bv. mitis	560		extracellular space [GO:0005615]	extracellular space [GO:0005615]; NAD+-diphthamide ADP-ribosyltransferase activity [GO:0047286]; toxin activity [GO:0090729]	NAD+-diphthamide ADP-ribosyltransferase activity [GO:0047286]; toxin activity [GO:0090729]	GO:0005615; GO:0047286; GO:0090729			
WP_003850266.1	Q6NK15	unreviewed	Q6NK15_CORDI	Diphtheria toxin (EC 2.4.2.36)	tox DIP0222	Corynebacterium diphtheriae (strain ATCC 700971 / NCTC 13129 / Biotype gravis)	560		extracellular space [GO:0005615]	extracellular space [GO:0005615]; identical protein binding [GO:0042802]; NAD+-diphthamide ADP-ribosyltransferase activity [GO:0047286]; toxin activity [GO:0090729]	identical protein binding [GO:0042802]; NAD+-diphthamide ADP-ribosyltransferase activity [GO:0047286]; toxin activity [GO:0090729]	GO:0005615; GO:0042802; GO:0047286; GO:0090729			
WP_003850266.1	A0A806GMP9	unreviewed	A0A806GMP9_CORD7	Diphtheria toxin (EC 2.4.2.36)	tox CDC7B_0178	Corynebacterium diphtheriae (strain ATCC 27012 / C7 (beta))	560		extracellular space [GO:0005615]	extracellular space [GO:0005615]; NAD+-diphthamide ADP-ribosyltransferase activity [GO:0047286]; toxin activity [GO:0090729]	NAD+-diphthamide ADP-ribosyltransferase activity [GO:0047286]; toxin activity [GO:0090729]	GO:0005615; GO:0047286; GO:0090729			
WP_057056642.1	J7FSJ2	unreviewed	J7FSJ2_BORPT	Pertussis toxin subunit 1	ptxS1I	Bordetella pertussis	269		extracellular region [GO:0005576]	extracellular region [GO:0005576]; NAD+ ADP-ribosyltransferase activity [GO:0003950]	NAD+ ADP-ribosyltransferase activity [GO:0003950]	GO:0003950; GO:0005576			
WP_010931651.1	P04979	reviewed	TOX3_BORPE	Pertussis toxin subunit 3 (PTX S3) (Islet-activating protein S3) (IAP S3)	ptxC BP3787	Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251)	227		extracellular region [GO:0005576]; host cell plasma membrane [GO:0020002]; membrane [GO:0016020]	extracellular region [GO:0005576]; host cell plasma membrane [GO:0020002]; membrane [GO:0016020]; toxin activity [GO:0090729]	toxin activity [GO:0090729]	GO:0005576; GO:0016020; GO:0020002; GO:0090729			
WP_010931651.1	Q546I1	unreviewed	Q546I1_BORPT	Islet-activating protein S3 (Pertussis toxin subunit) (Pertussis toxin subunit 3) (Pertussis toxin subunit PtxC)	ptxS3 ptxC ptxC_1 NCTC10911_00250	Bordetella pertussis	227		extracellular region [GO:0005576]; host cell plasma membrane [GO:0020002]; plasma membrane [GO:0005886]	extracellular region [GO:0005576]; host cell plasma membrane [GO:0020002]; plasma membrane [GO:0005886]		GO:0005576; GO:0005886; GO:0020002			
WP_010931651.1	A0A0T7CTP6	unreviewed	A0A0T7CTP6_BORP1	Pertussis toxin subunit 3	ptxC BN118_3583	Bordetella pertussis (strain ATCC 9797 / DSM 5571 / NCTC 10739 / 18323)	227		extracellular region [GO:0005576]; host cell plasma membrane [GO:0020002]; plasma membrane [GO:0005886]	extracellular region [GO:0005576]; host cell plasma membrane [GO:0020002]; plasma membrane [GO:0005886]		GO:0005576; GO:0005886; GO:0020002			
